Theta1,Theta1dot, Theta2, Theta2dot
0.785271,-0.063454,0.523623,0.012242
0.784824,-0.126897,0.523710,0.024484
0.784058,-0.190311,0.523857,0.036718
0.782973,-0.253677,0.524067,0.048937
0.781569,-0.316975,0.524337,0.061133
0.779846,-0.380188,0.524669,0.073299
0.777806,-0.443295,0.525062,0.085426
0.775448,-0.506279,0.525516,0.097505
0.772773,-0.569121,0.526031,0.109526
0.769783,-0.631804,0.526606,0.121480
0.766477,-0.694310,0.527241,0.133355
0.762857,-0.756621,0.527935,0.145139
0.758923,-0.818720,0.528688,0.156819
0.754678,-0.880592,0.529500,0.168380
0.750121,-0.942219,0.530370,0.179808
0.745255,-1.003587,0.531297,0.191087
0.740081,-1.064679,0.532280,0.202197
0.734599,-1.125482,0.533318,0.213120
0.728812,-1.185981,0.534411,0.223837
0.722721,-1.246163,0.535558,0.234324
0.716328,-1.306015,0.536756,0.244558
0.709634,-1.365523,0.538006,0.254515
0.702642,-1.424677,0.539305,0.264168
0.695352,-1.483465,0.540651,0.273490
0.687767,-1.541876,0.542044,0.282450
0.679889,-1.599900,0.543482,0.291017
0.671720,-1.657529,0.544961,0.299160
0.663261,-1.714752,0.546481,0.306844
0.654515,-1.771562,0.548038,0.314033
0.645485,-1.827951,0.549630,0.320689
0.636171,-1.883912,0.551255,0.326775
0.626576,-1.939438,0.552909,0.332249
0.616703,-1.994524,0.554590,0.337070
0.606554,-2.049163,0.556294,0.341195
0.596130,-2.103351,0.558017,0.344578
0.585435,-2.157083,0.559756,0.347174
0.574471,-2.210354,0.561506,0.348936
0.563239,-2.263161,0.563264,0.349816
0.551743,-2.315500,0.565025,0.349762
0.539984,-2.367368,0.566783,0.348726
0.527966,-2.418761,0.568535,0.346654
0.515689,-2.469676,0.570275,0.343493
0.503158,-2.520111,0.571996,0.339191
0.490374,-2.570061,0.573695,0.333693
0.477340,-2.619524,0.575363,0.326943
0.464058,-2.668497,0.576996,0.318885
0.450531,-2.716975,0.578585,0.309463
0.436762,-2.764954,0.580126,0.298620
0.422752,-2.812431,0.581609,0.286299
0.408505,-2.859400,0.583028,0.272442
0.394022,-2.905854,0.584375,0.256991
0.379307,-2.951788,0.585641,0.239889
0.364363,-2.997194,0.586819,0.221078
0.349191,-3.042064,0.587899,0.200502
0.333795,-3.086387,0.588874,0.178103
0.318178,-3.130153,0.589732,0.153824
0.302342,-3.173349,0.590466,0.127612
0.286290,-3.215962,0.591065,0.099410
0.270026,-3.257974,0.591519,0.069165
0.253552,-3.299370,0.591818,0.036826
0.236871,-3.340129,0.591951,0.002340
0.219987,-3.380230,0.591907,-0.034340
0.202903,-3.419648,0.591676,-0.073263
0.185623,-3.458357,0.591245,-0.114473
0.168150,-3.496328,0.590604,-0.158013
0.150488,-3.533530,0.589740,-0.203923
0.132641,-3.569926,0.588642,-0.252239
0.114613,-3.605481,0.587298,-0.302996
0.096408,-3.640152,0.585694,-0.356224
0.078032,-3.673897,0.583820,-0.411948
0.059488,-3.706667,0.581661,-0.470191
0.040781,-3.738413,0.579206,-0.530969
0.021918,-3.769079,0.576442,-0.594296
0.002903,-3.798609,0.573356,-0.660178
-0.016258,-3.826941,0.569935,-0.728616
-0.035558,-3.854010,0.566166,-0.799605
-0.054992,-3.879749,0.562037,-0.873134
-0.074552,-3.904086,0.557534,-0.949185
-0.094232,-3.926947,0.552645,-1.027732
-0.114023,-3.948253,0.547358,-1.108743
-0.133918,-3.967924,0.541661,-1.192177
-0.153908,-3.985877,0.535540,-1.277985
-0.173985,-4.002025,0.528985,-1.366111
-0.194140,-4.016281,0.521984,-1.456487
-0.214363,-4.028555,0.514525,-1.549042
-0.234644,-4.038756,0.506598,-1.643691
-0.254972,-4.046791,0.498192,-1.740342
-0.275336,-4.052568,0.489298,-1.838897
-0.295725,-4.055995,0.479906,-1.939245
-0.316128,-4.056979,0.470007,-2.041271
-0.336531,-4.055430,0.459592,-2.144847
-0.356921,-4.051258,0.448655,-2.249843
-0.377287,-4.044376,0.437188,-2.356118
-0.397613,-4.034702,0.425185,-2.463525
-0.417886,-4.022154,0.412641,-2.571912
-0.438091,-4.006657,0.399551,-2.681122
-0.458214,-3.988139,0.385910,-2.790992
-0.478239,-3.966534,0.371716,-2.901358
-0.498150,-3.941783,0.356967,-3.012051
-0.517932,-3.913833,0.341661,-3.122902
-0.537569,-3.882638,0.325797,-3.233740
-0.557044,-3.848158,0.309375,-3.344397
-0.576341,-3.810364,0.292398,-3.454704
-0.595443,-3.769234,0.274867,-3.564497
-0.614334,-3.724755,0.256784,-3.673614
-0.632996,-3.676921,0.238153,-3.781898
-0.651412,-3.625739,0.218978,-3.889200
-0.669567,-3.571223,0.199266,-3.995373
-0.687443,-3.513398,0.179021,-4.100283
-0.705023,-3.452296,0.158250,-4.203801
-0.722292,-3.387964,0.136960,-4.305808
