Theta1,Theta1_dot, Theta2, Theta2_dot
3.140593,-0.000037,3.141593,0.000074
3.140592,-0.000074,3.141593,0.000147
3.140592,-0.000110,3.141594,0.000221
3.140591,-0.000147,3.141595,0.000295
3.140590,-0.000184,3.141597,0.000368
3.140589,-0.000221,3.141599,0.000443
3.140588,-0.000258,3.141601,0.000517
3.140587,-0.000294,3.141604,0.000591
3.140585,-0.000331,3.141607,0.000666
3.140584,-0.000368,3.141611,0.000742
3.140582,-0.000405,3.141615,0.000817
3.140580,-0.000442,3.141619,0.000893
3.140577,-0.000479,3.141624,0.000970
3.140575,-0.000516,3.141629,0.001047
3.140572,-0.000553,3.141634,0.001124
3.140569,-0.000590,3.141640,0.001203
3.140566,-0.000627,3.141646,0.001281
3.140563,-0.000664,3.141653,0.001361
3.140560,-0.000701,3.141660,0.001441
3.140556,-0.000738,3.141667,0.001522
3.140552,-0.000776,3.141675,0.001604
3.140548,-0.000813,3.141683,0.001687
3.140544,-0.000850,3.141692,0.001770
3.140540,-0.000888,3.141701,0.001855
3.140535,-0.000925,3.141710,0.001940
3.140530,-0.000963,3.141720,0.002027
3.140525,-0.001000,3.141731,0.002114
3.140520,-0.001038,3.141742,0.002203
3.140515,-0.001075,3.141753,0.002293
3.140510,-0.001113,3.141765,0.002384
3.140504,-0.001151,3.141777,0.002477
3.140498,-0.001188,3.141789,0.002570
3.140492,-0.001226,3.141803,0.002666
3.140486,-0.001264,3.141816,0.002762
3.140479,-0.001302,3.141830,0.002860
3.140473,-0.001340,3.141845,0.002960
3.140466,-0.001378,3.141860,0.003061
3.140459,-0.001417,3.141876,0.003163
3.140452,-0.001455,3.141892,0.003268
3.140444,-0.001493,3.141908,0.003374
3.140437,-0.001532,3.141926,0.003482
3.140429,-0.001570,3.141943,0.003591
3.140421,-0.001609,3.141962,0.003703
3.140413,-0.001647,3.141981,0.003816
3.140404,-0.001686,3.142000,0.003932
3.140396,-0.001724,3.142020,0.004049
3.140387,-0.001763,3.142041,0.004169
3.140378,-0.001802,3.142062,0.004291
3.140369,-0.001841,3.142084,0.004415
3.140360,-0.001880,3.142106,0.004541
3.140350,-0.001919,3.142129,0.004670
3.140340,-0.001958,3.142153,0.004801
3.140330,-0.001998,3.142177,0.004935
3.140320,-0.002037,3.142203,0.005071
3.140310,-0.002076,3.142228,0.005209
3.140299,-0.002116,3.142255,0.005351
3.140289,-0.002155,3.142282,0.005495
3.140278,-0.002195,3.142310,0.005642
3.140267,-0.002234,3.142339,0.005791
3.140255,-0.002274,3.142368,0.005944
3.140244,-0.002313,3.142398,0.006100
3.140232,-0.002353,3.142429,0.006259
3.140220,-0.002393,3.142461,0.006420
3.140208,-0.002433,3.142494,0.006586
3.140196,-0.002473,3.142527,0.006754
3.140183,-0.002513,3.142562,0.006926
3.140170,-0.002553,3.142597,0.007101
3.140157,-0.002593,3.142633,0.007280
3.140144,-0.002633,3.142670,0.007462
3.140131,-0.002673,3.142708,0.007648
3.140117,-0.002713,3.142747,0.007838
3.140104,-0.002753,3.142787,0.008032
3.140090,-0.002793,3.142828,0.008230
3.140076,-0.002833,3.142869,0.008431
3.140061,-0.002873,3.142912,0.008637
3.140047,-0.002914,3.142956,0.008847
3.140032,-0.002954,3.143001,0.009062
3.140017,-0.002994,3.143047,0.009280
3.140002,-0.003034,3.143094,0.009504
3.139987,-0.003074,3.143143,0.009732
3.139971,-0.003114,3.143192,0.009964
3.139955,-0.003154,3.143243,0.010201
3.139939,-0.003194,3.143295,0.010444
3.139923,-0.003234,3.143348,0.010691
3.139907,-0.003274,3.143402,0.010943
3.139890,-0.003314,3.143458,0.011201
3.139873,-0.003354,3.143514,0.011464
3.139856,-0.003393,3.143573,0.011732
3.139839,-0.003433,3.143632,0.012006
3.139822,-0.003472,3.143693,0.012285
3.139804,-0.003512,3.143756,0.012570
3.139787,-0.003551,3.143820,0.012861
3.139769,-0.003590,3.143885,0.013159
3.139751,-0.003629,3.143952,0.013462
3.139732,-0.003668,3.144020,0.013771
3.139714,-0.003707,3.144090,0.014087
3.139695,-0.003745,3.144162,0.014410
3.139676,-0.003783,3.144235,0.014739
3.139657,-0.003821,3.144310,0.015075
3.139638,-0.003859,3.144386,0.015418
3.139618,-0.003897,3.144464,0.015767
3.139598,-0.003934,3.144545,0.016125
3.139578,-0.003972,3.144626,0.016489
3.139558,-0.004008,3.144710,0.016861
3.139538,-0.004045,3.144796,0.017240
3.139518,-0.004081,3.144883,0.017628
3.139497,-0.004117,3.144973,0.018023
3.139476,-0.004153,3.145064,0.018427
3.139455,-0.004188,3.145158,0.018838
3.139434,-0.004223,3.145254,0.019258
3.139413,-0.004257,3.145351,0.019687
3.139391,-0.004292,3.145451,0.020125
3.139370,-0.004325,3.145554,0.020571
3.139348,-0.004358,3.145658,0.021027
3.139326,-0.004391,3.145765,0.021492
3.139304,-0.004423,3.145874,0.021966
3.139281,-0.004455,3.145986,0.022450
3.139259,-0.004486,3.146100,0.022944
3.139236,-0.004517,3.146216,0.023448
3.139213,-0.004547,3.146335,0.023963
3.139191,-0.004576,3.146457,0.024487
3.139167,-0.004605,3.146581,0.025023
3.139144,-0.004633,3.146708,0.025569
3.139121,-0.004660,3.146838,0.026126
3.139097,-0.004686,3.146971,0.026695
3.139074,-0.004712,3.147106,0.027275
3.139050,-0.004737,3.147245,0.027867
3.139026,-0.004761,3.147386,0.028470
3.139002,-0.004785,3.147531,0.029086
3.138978,-0.004807,3.147678,0.029715
3.138954,-0.004829,3.147829,0.030356
3.138929,-0.004849,3.147983,0.031010
3.138905,-0.004869,3.148141,0.031677
3.138880,-0.004887,3.148301,0.032357
3.138856,-0.004905,3.148466,0.033051
3.138831,-0.004921,3.148633,0.033759
3.138806,-0.004936,3.148805,0.034481
3.138781,-0.004950,3.148980,0.035218
3.138756,-0.004963,3.149159,0.035969
3.138731,-0.004974,3.149341,0.036736
3.138706,-0.004984,3.149528,0.037517
3.138681,-0.004993,3.149718,0.038315
3.138656,-0.005001,3.149913,0.039128
3.138631,-0.005007,3.150111,0.039957
3.138606,-0.005011,3.150314,0.040803
3.138580,-0.005014,3.150521,0.041666
3.138555,-0.005015,3.150733,0.042545
3.138530,-0.005014,3.150949,0.043442
3.138505,-0.005012,3.151169,0.044357
3.138479,-0.005008,3.151394,0.045290
3.138454,-0.005003,3.151624,0.046242
3.138429,-0.004995,3.151859,0.047212
3.138404,-0.004985,3.152098,0.048202
3.138379,-0.004973,3.152343,0.049210
3.138354,-0.004960,3.152593,0.050239
3.138329,-0.004944,3.152848,0.051288
3.138304,-0.004926,3.153108,0.052358
3.138279,-0.004905,3.153374,0.053449
3.138255,-0.004883,3.153645,0.054561
3.138230,-0.004857,3.153922,0.055694
3.138206,-0.004830,3.154205,0.056850
3.138182,-0.004799,3.154493,0.058029
3.138157,-0.004767,3.154788,0.059231
3.138134,-0.004731,3.155088,0.060456
3.138110,-0.004692,3.155395,0.061705
3.138086,-0.004651,3.155708,0.062978
3.138063,-0.004607,3.156028,0.064277
3.138040,-0.004559,3.156354,0.065600
3.138017,-0.004509,3.156687,0.066949
3.137994,-0.004455,3.157027,0.068325
3.137972,-0.004398,3.157373,0.069727
3.137950,-0.004337,3.157727,0.071156
3.137928,-0.004273,3.158088,0.072613
3.137907,-0.004205,3.158457,0.074098
3.137886,-0.004134,3.158833,0.075612
3.137865,-0.004059,3.159216,0.077155
3.137845,-0.003979,3.159608,0.078728
3.137825,-0.003896,3.160007,0.080331
3.137806,-0.003808,3.160415,0.081965
3.137787,-0.003717,3.160831,0.083631
3.137768,-0.003620,3.161255,0.085328
3.137750,-0.003519,3.161688,0.087058
3.137733,-0.003414,3.162130,0.088822
3.137716,-0.003304,3.162581,0.090619
3.137699,-0.003189,3.163040,0.092451
3.137684,-0.003068,3.163509,0.094317
3.137668,-0.002943,3.163988,0.096220
3.137654,-0.002812,3.164476,0.098159
3.137640,-0.002676,3.164974,0.100135
3.137627,-0.002534,3.165482,0.102148
3.137614,-0.002387,3.166001,0.104200
3.137603,-0.002233,3.166529,0.106291
3.137592,-0.002074,3.167069,0.108422
3.137582,-0.001908,3.167619,0.110593
3.137572,-0.001736,3.168180,0.112806
3.137564,-0.001557,3.168752,0.115060
3.137556,-0.001372,3.169336,0.117357
3.137550,-0.001180,3.169931,0.119698
3.137544,-0.000980,3.170538,0.122083
3.137540,-0.000774,3.171158,0.124514
3.137536,-0.000560,3.171790,0.126990
3.137534,-0.000338,3.172434,0.129513
3.137533,-0.000108,3.173091,0.132084
3.137533,0.000129,3.173761,0.134703
3.137534,0.000375,3.174444,0.137371
3.137536,0.000630,3.175141,0.140090
3.137540,0.000893,3.175852,0.142859
3.137545,0.001164,3.176577,0.145681
3.137551,0.001445,3.177316,0.148556
3.137559,0.001736,3.178069,0.151485
3.137569,0.002035,3.178838,0.154468
3.137580,0.002345,3.179621,0.157508
3.137592,0.002665,3.180420,0.160604
3.137606,0.002995,3.181235,0.163758
